Domain,Phylum,Class,Order,Family,Genus,best_hit
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 190:Pantoea
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ASV 191:Methylobacterium
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 193:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 194:Esherichica/Shigella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 195:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 196:Esherichica/Shigella
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,ASV 197:Sphingobacterium
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 198:Pantoea
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 199:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,ASV 200:Enterobacter
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 201:Esherichica/Shigella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 202:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 203:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 204:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 205:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 206:Pseudomonas
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,ASV 207:Methylobacterium
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 208:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 209:Pantoea
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,ASV 210:Brevibacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 211:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 212:Pantoea
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,ASV 213:Rothia
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 214:Pantoea
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 215:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,ASV 216:Enterobacter
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 217:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 218:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 219:Pantoea
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 220:Bacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 221:Bacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,ASV 222:Paenibacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 223:Pseudomonas
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 224:Bacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,ASV 225:Brevibacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 226:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 228:Pseudomonas
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,ASV 229:Brevibacillus
