Id,q_amplicon,Phylum,Class,Order,Family,Genus,Species
4494,ASV 4494: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4495,ASV 4495: Mesorhizobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Mesorhizobium
4496,ASV 4496: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4497,ASV 4497: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4498,ASV 4498: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4499,ASV 4499: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4500,ASV 4500: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4501,ASV 4501: Nocardiaceae,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardiaceae,Nocardiaceae
4502,ASV 4502: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4503,ASV 4503: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4504,ASV 4504: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4505,ASV 4505: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4506,ASV 4506: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4507,ASV 4507: Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
4508,ASV 4508: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4509,ASV 4509: Rhodococcus,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus
4510,ASV 4510: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4511,ASV 4511: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4512,ASV 4512: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4513,ASV 4513: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4514,ASV 4514: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4515,ASV 4515: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4516,ASV 4516: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4517,ASV 4517: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4518,ASV 4518: Actinobacteria,Actinobacteriota,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria,Actinobacteria
4519,ASV 4519: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4520,ASV 4520: Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
4521,ASV 4521: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4522,ASV 4522: Corynebacterium,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium
4523,ASV 4523: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
4524,ASV 4524: Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
4525,ASV 4525: Corynebacteriales,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,Corynebacteriales,Corynebacteriales
