"AverageShortestPathLength","BetweennessCentrality","Class","Class_mod","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","Hub","IsSingleNode","label","mv","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","RA","Radiality","selected","SelfLoops","shared name","Species","Stress","TopologicalCoefficient"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1732_Legionella","0","ASV1732_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1732_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1733_Legionella","0","ASV1733_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1733_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1734_Legionella","0","ASV1734_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1734_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1735_Legionella","0","ASV1735_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1735_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1736_Legionella","0","ASV1736_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1736_Legionella","Legionella","0","0.0"
"4.28","0.0","Gammaproteobacteria","Gammaproteobacteria","0.2336448598130841","0.0","1","7","Legionellaceae","Legionella","","false","ASV1737_Legionella","0","ASV1737_Legionella","8.0","0","1","Legionellales","0","Proteobacteria",,"0.7813333333333332","false","0","ASV1737_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1738_Legionella","0","ASV1738_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1738_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1739_Legionella","0","ASV1739_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1739_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1740_Legionella","0","ASV1740_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1740_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1741_Legionella","0","ASV1741_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1741_Legionella","Legionella","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Legionellaceae","Legionella","","true","ASV1742_Legionella","0","ASV1742_Legionella","0.0","0","0","Legionellales","0","Proteobacteria",,"Infinity","false","0","ASV1742_Legionella","Legionella","0","0.0"
